index	Ontology	GO id	GO term	value	pval	qval
1	MF	GO:0003714	transcription corepressor activity	83	1.9468483453790368e-05	0.04814555958122358
2	BP	GO:0010971	positive regulation of G2/M transition of mitotic cell cycle	19	0.00010999086092237958	0.4013474202596041
3	BP	GO:1902751	positive regulation of cell cycle G2/M phase transition	20	0.00012218522854193372	0.4013474202596041
4	BP	GO:0016570	histone modification	183	0.00021289046537404245	0.4013474202596041
5	BP	GO:0016569	covalent chromatin modification	185	0.0002199863833806778	0.4013474202596041
6	BP	GO:0016575	histone deacetylation	27	0.00022537406014672248	0.4013474202596041
7	BP	GO:0006476	protein deacetylation	28	0.00024265713052745377	0.4013474202596041
8	BP	GO:0035601	protein deacylation	30	0.0002791253900788345	0.4013474202596041
9	BP	GO:0098732	macromolecule deacylation	30	0.0002791253900788345	0.4013474202596041
10	MF	GO:0003712	transcription coregulator activity	212	0.00033173612678304306	0.41019172076723276
11	CC	GO:0017053	transcription repressor complex	33	0.0003385767197223742	0.38500919790241084
12	CC	GO:0000118	histone deacetylase complex	41	0.0005248932486740434	0.38500919790241084
13	BP	GO:0010389	regulation of G2/M transition of mitotic cell cycle	47	0.000691046725233764	0.6287853941207193
14	BP	GO:1901992	positive regulation of mitotic cell cycle phase transition	49	0.0007514447705676584	0.6287853941207193
15	BP	GO:1902749	regulation of cell cycle G2/M phase transition	50	0.0007825819274482615	0.6287853941207193
16	BP	GO:1901989	positive regulation of cell cycle phase transition	56	0.0009825120500061935	0.6287853941207193
17	BP	GO:0021591	ventricular system development	1	0.00098392915710449	0.6287853941207193
18	BP	GO:0051595	response to methylglyoxal	1	0.00098392915710449	0.6287853941207193
19	BP	GO:1901675	negative regulation of histone H3-K27 acetylation	1	0.00098392915710449	0.6287853941207193
20	BP	GO:2000820	negative regulation of transcription from RNA polymerase II promoter involved in smooth muscle cell differentiation	1	0.00098392915710449	0.6287853941207193
21	BP	GO:0032048	cardiolipin metabolic process	1	0.00098392915710449	0.6287853941207193
22	BP	GO:0019230	proprioception	1	0.00098392915710449	0.6287853941207193
23	BP	GO:0006325	chromatin organization	318	0.0011249380938433374	0.6599684753380088
24	BP	GO:0000122	negative regulation of transcription by RNA polymerase II	321	0.001157179822994935	0.6599684753380088
25	BP	GO:0045931	positive regulation of mitotic cell cycle	62	0.001204845517004102	0.6599684753380088
26	MF	GO:0047485	protein N-terminus binding	62	0.001204845517004102	0.9931943211837148
27	BP	GO:1905269	positive regulation of chromatin organization	67	0.001407171033665274	0.735758563647802
28	BP	GO:0046471	phosphatidylglycerol metabolic process	2	0.0019672126913906018	0.8081731281809319
29	BP	GO:0006020	inositol metabolic process	2	0.0019672126913906018	0.8081731281809319
30	BP	GO:1900114	positive regulation of histone H3-K9 trimethylation	2	0.0019672126913906018	0.8081731281809319
31	BP	GO:0002087	regulation of respiratory gaseous exchange by nervous system process	2	0.0019672126913906018	0.8081731281809319
32	BP	GO:0031937	positive regulation of chromatin silencing	2	0.0019672126913906018	0.8081731281809319
33	BP	GO:0044065	regulation of respiratory system process	2	0.0019672126913906018	0.8081731281809319
34	MF	GO:0010385	double-stranded methylated DNA binding	2	0.0019672126913906018	1.0
35	BP	GO:0031056	regulation of histone modification	88	0.0024249406150563244	0.9170847006066039
36	MF	GO:0140110	transcription regulator activity	411	0.00243390792808815	1.0
