index	Ontology	GO id	GO term	value	pval	qval
1	BP	GO:0000165	MAPK cascade	78	3.676840193767755e-09	4.585755089667144e-05
2	BP	GO:0035556	intracellular signal transduction	601	8.027284334322726e-08	0.0005005814510883652
3	MF	GO:0098772	molecular function regulator	826	7.315179269248537e-07	0.0025120325610599476
4	MF	GO:0003925	G protein activity	29	2.176489376154227e-06	0.003737032258856808
5	BP	GO:0007264	small GTPase mediated signal transduction	121	2.9725814085418347e-06	0.012358011775777921
6	MF	GO:0035639	purine ribonucleoside triphosphate binding	668	6.793137748273918e-06	0.004966159348459432
7	MF	GO:0032555	purine ribonucleotide binding	704	9.243737736159411e-06	0.004966159348459432
8	MF	GO:0019003	GDP binding	47	9.579285305269201e-06	0.004966159348459432
9	MF	GO:0032553	ribonucleotide binding	713	9.958381401808448e-06	0.004966159348459432
10	MF	GO:0017076	purine nucleotide binding	715	1.0123213581600473e-05	0.004966159348459432
11	MF	GO:0000166	nucleotide binding	802	1.9814919892778402e-05	0.007615682200997616
12	MF	GO:1901265	nucleoside phosphate binding	803	1.9959563135986762e-05	0.007615682200997616
13	MF	GO:0097367	carbohydrate derivative binding	821	2.2715393703537123e-05	0.0078004661977946485
14	MF	GO:0004709	MAP kinase kinase kinase activity	9	2.9659229633091674e-05	0.00925907223273062
15	MF	GO:0043168	anion binding	889	3.6103007904631305e-05	0.010331477428708657
16	BP	GO:0007265	Ras protein signal transduction	77	4.2625340083079136e-05	0.13290581037904076
17	MF	GO:0036094	small molecule binding	946	5.178874041655961e-05	0.013680194968497362
18	BP	GO:0007165	signal transduction	1653	8.606017101924286e-05	0.2126980279707836
19	BP	GO:0001934	positive regulation of protein phosphorylation	296	0.00010232425976785613	0.2126980279707836
20	BP	GO:0043547	positive regulation of GTPase activity	111	0.00012725427088158792	0.22673075234788065
21	MF	GO:0008047	enzyme activator activity	315	0.00013040522591561293	0.03198653898530105
22	BP	GO:0042327	positive regulation of phosphorylation	327	0.00015082256946264655	0.235132385792266
23	BP	GO:0045937	positive regulation of phosphate metabolic process	366	0.00023349042111815295	0.29120925321856034
24	BP	GO:0010562	positive regulation of phosphorus metabolic process	366	0.00023349042111815295	0.29120925321856034
25	MF	GO:0106311	protein threonine kinase activity	139	0.00024805965939209325	0.05323980439702801
26	MF	GO:0106310	protein serine kinase activity	139	0.00024805965939209325	0.05323980439702801
27	BP	GO:0043087	regulation of GTPase activity	153	0.0003293483520425101	0.3734211496976533
28	MF	GO:0003924	GTPase activity	160	0.0003757661596767806	0.07301535144979586
29	MF	GO:0004674	protein serine/threonine kinase activity	161	0.00038272461447184784	0.07301535144979586
30	BP	GO:0031401	positive regulation of protein modification process	434	0.0004503391494971855	0.43974056595818395
31	BP	GO:0051336	regulation of hydrolase activity	436	0.0004583569080705894	0.43974056595818395
32	MF	GO:0005525	GTP binding	174	0.0004809115480675269	0.08691843452967829
33	CC	GO:0005794	Golgi apparatus	450	0.0005174144299933697	0.8309675745693518
34	MF	GO:0019001	guanyl nucleotide binding	184	0.0005666026994903803	0.09265303190714123
