index	Ontology	GO id	GO term	value	pval	qval
1	BP	GO:0007264	small GTPase mediated signal transduction	224	2.812731080718873e-20	4.165373457436579e-16
2	BP	GO:0007265	Ras protein signal transduction	150	6.415156778437054e-18	4.750102836593716e-14
3	BP	GO:0035556	intracellular signal transduction	1185	1.1092227046848827e-14	5.4754930112261425e-11
4	BP	GO:0000165	MAPK cascade	161	3.881769825982103e-11	1.1497025870593793e-07
5	BP	GO:0023014	signal transduction by protein phosphorylation	161	3.881769825982103e-11	1.1497025870593793e-07
6	BP	GO:0007165	signal transduction	3421	5.105898419387432e-10	1.2602208282118082e-06
7	BP	GO:0043408	regulation of MAPK cascade	557	6.100444027371137e-08	0.00012905925085905594
8	BP	GO:0006468	protein phosphorylation	620	1.9677124564288151e-07	0.000364248172090679
9	BP	GO:0046578	regulation of Ras protein signal transduction	150	3.2568735775947144e-07	0.0005359004534511126
10	BP	GO:0046579	positive regulation of Ras protein signal transduction	50	4.165395536575745e-07	0.0006168534250115021
11	BP	GO:0051057	positive regulation of small GTPase mediated signal transduction	56	7.409298365406538e-07	0.000997493631757322
12	BP	GO:0043410	positive regulation of MAPK cascade	403	2.829856555226739e-06	0.0034922788105293985
13	BP	GO:0001932	regulation of protein phosphorylation	1131	3.333988976913024e-06	0.0036337528553009217
14	BP	GO:0016310	phosphorylation	811	3.435244781836242e-06	0.0036337528553009217
15	BP	GO:1902533	positive regulation of intracellular signal transduction	840	4.948940694498452e-06	0.004885924182988505
16	BP	GO:0007169	transmembrane receptor protein tyrosine kinase signaling pathway	336	6.926075191683435e-06	0.006410515469602499
17	BP	GO:0051056	regulation of small GTPase mediated signal transduction	248	9.361893328808886e-06	0.008155310488607695
18	BP	GO:0042325	regulation of phosphorylation	1246	1.03980884066672e-05	0.008387973464284984
19	BP	GO:0031399	regulation of protein modification process	1437	1.0761799974435457e-05	0.008387973464284984
20	BP	GO:0050790	regulation of catalytic activity	1901	1.667617586094022e-05	0.012347874416233189
21	BP	GO:0071902	positive regulation of protein serine/threonine kinase activity	182	1.8293462672620867e-05	0.01290037565327821
22	BP	GO:0043087	regulation of GTPase activity	278	1.9657978070062076e-05	0.013149307682796391
23	BP	GO:0001934	positive regulation of protein phosphorylation	803	2.042231593654649e-05	0.013149307682796391
24	BP	GO:0065009	regulation of molecular function	2409	2.410184193109843e-05	0.01483403825396153
25	BP	GO:0048169	regulation of long-term neuronal synaptic plasticity	19	2.5774620549298607e-05	0.01483403825396153
26	BP	GO:0051174	regulation of phosphorus metabolic process	1354	2.704565013552308e-05	0.01483403825396153
27	BP	GO:0019220	regulation of phosphate metabolic process	1354	2.704565013552308e-05	0.01483403825396153
28	BP	GO:0031401	positive regulation of protein modification process	998	2.863316762360816e-05	0.015143877833500472
29	BP	GO:0010647	positive regulation of cell communication	1366	2.9898326623449615e-05	0.015267735136781565
30	BP	GO:0023056	positive regulation of signaling	1372	3.142245236982776e-05	0.015511169904825976
31	BP	GO:0042327	positive regulation of phosphorylation	863	3.9948352540023606e-05	0.018494033751561136
32	BP	GO:0038179	neurotrophin signaling pathway	22	4.070073057710411e-05	0.018494033751561136
33	BP	GO:0071900	regulation of protein serine/threonine kinase activity	312	4.1211635748633766e-05	0.018494033751561136
34	BP	GO:1902531	regulation of intracellular signal transduction	1420	4.631942731922781e-05	0.02017483526971896
35	BP	GO:0009967	positive regulation of signal transduction	1234	4.849577415040323e-05	0.020519254839809185
36	BP	GO:0090170	regulation of Golgi inheritance	4	5.602277535683904e-05	0.02217624481865038
37	BP	GO:0031547	brain-derived neurotrophic factor receptor signaling pathway	4	5.602277535683904e-05	0.02217624481865038
38	BP	GO:0010646	regulation of cell communication	2554	5.690440293799139e-05	0.02217624481865038
39	BP	GO:0023051	regulation of signaling	2568	6.160619414623135e-05	0.02339297766952667
40	BP	GO:0045937	positive regulation of phosphate metabolic process	931	8.004947249490059e-05	0.028913478979926414
41	BP	GO:0010562	positive regulation of phosphorus metabolic process	931	8.004947249490059e-05	0.028913478979926414
42	BP	GO:0007167	enzyme linked receptor protein signaling pathway	475	8.334499173633773e-05	0.029387047205319653
43	BP	GO:0048167	regulation of synaptic plasticity	148	8.722729287821958e-05	0.030040673958919857
44	BP	GO:0050804	modulation of chemical synaptic transmission	361	0.00010351524088368293	0.03391239359082013
45	BP	GO:0099177	regulation of trans-synaptic signaling	362	0.00010532082736981348	0.03391239359082013
46	BP	GO:2000637	positive regulation of gene silencing by miRNA	30	0.00010548207413813264	0.03391239359082013
47	BP	GO:0050794	regulation of cellular process	7515	0.00010762931317229697	0.03391239359082013
48	BP	GO:0070372	regulation of ERK1 and ERK2 cascade	253	0.00011524583687508045	0.03521954150723657
49	BP	GO:0060148	positive regulation of posttranscriptional gene silencing	31	0.00011653437327669606	0.03521954150723657
