MT-TF	ENSG00000210049
MT-RNR1	ENSG00000211459
MT-TV	ENSG00000210077
MT-RNR2	ENSG00000210082
MT-TL1	ENSG00000209082
MT-ND1	ENSG00000198888
MT-TI	ENSG00000210100
MT-TQ	ENSG00000210107
MT-TM	ENSG00000210112
MT-ND2	ENSG00000198763
MT-TW	ENSG00000210117
MT-TA	ENSG00000210127
MT-TN	ENSG00000210135
MT-TC	ENSG00000210140
MT-TY	ENSG00000210144
MT-CO1	ENSG00000198804
MT-TS1	ENSG00000210151
MT-TD	ENSG00000210154
MT-CO2	ENSG00000198712
MT-TK	ENSG00000210156
MT-ATP8	ENSG00000228253
MT-ATP6	ENSG00000198899
MT-CO3	ENSG00000198938
MT-TG	ENSG00000210164
MT-ND3	ENSG00000198840
MT-TR	ENSG00000210174
MT-ND4L	ENSG00000212907
MT-ND4	ENSG00000198886
MT-TH	ENSG00000210176
MT-TS2	ENSG00000210184
MT-TL2	ENSG00000210191
MT-ND5	ENSG00000198786
MT-ND6	ENSG00000198695
MT-TE	ENSG00000210194
MT-CYB	ENSG00000198727
MT-TT	ENSG00000210195
MT-TP	ENSG00000210196
5S_rRNA	ENSG00000278457
5_8S_rRNA	ENSG00000278294
LINC02109	ENSG00000274882
LINC01115	ENSG00000281362
PCMTD2	ENSG00000280663
OPRL1	ENSG00000277044
NPBWR2	ENSG00000277339
MYT1	ENSG00000276876
KIR2DS4	ENSG00000274324
KIR2DL2	ENSG00000278731
KIR3DL3	ENSG00000277620
LILRP2	ENSG00000274826
INTS3	ENSG00000262826
KIR2DL4	ENSG00000277355
KIR2DL4	ENSG00000275699
LILRP2	ENSG00000273755
KIR2DL2	ENSG00000275407
KIR3DL1	ENSG00000276379
KIR2DL1	ENSG00000277616
KIR3DP1	ENSG00000275751
KIR2DL1	ENSG00000278805
LILRP2	ENSG00000275442
KIR2DS4	ENSG00000277345
KIR2DL3	ENSG00000276459
KIR2DL3	ENSG00000277484
FCAR	ENSG00000276858
KIR3DL2	ENSG00000276424
LILRP2	ENSG00000274861
KIR2DL1	ENSG00000278248
LILRP1	ENSG00000274339
KIR3DL1	ENSG00000276501
KIR3DL1	ENSG00000273775
KIR3DL1	ENSG00000277272
PPIAL4F	ENSG00000275974
LILRP1	ENSG00000277070
KIR2DS5	ENSG00000276676
U1	ENSG00000274574
RNVU1-26	ENSG00000273990
KIR2DP1	ENSG00000277376
RNVU1-2A	ENSG00000273757
KIR2DS2	ENSG00000276258
KIR2DL5B	ENSG00000275946
KIR2DL4	ENSG00000274189
KIR3DL2	ENSG00000273735
KIR2DL1	ENSG00000276820
KIR3DL3	ENSG00000276433
KIR2DS3	ENSG00000278306
KIR3DL2	ENSG00000276357
KIR2DL4	ENSG00000275732
KIR3DL1	ENSG00000275717
KIR3DL3	ENSG00000274696
KIR2DS4	ENSG00000274807
LILRP1	ENSG00000275112
KIR3DP1	ENSG00000277742
KIR2DS2	ENSG00000274518
KIR2DS4	ENSG00000275938
DNAH10	ENSG00000281935
KIR2DS2	ENSG00000276139
KIR2DL4	ENSG00000273575
LILRP2	ENSG00000274120
KIR2DL3	ENSG00000277317
KIR2DL4	ENSG00000274945
LILRP1	ENSG00000278325
KIR3DP1	ENSG00000277176
KIR2DS2	ENSG00000276425
KIR3DL3	ENSG00000276930
KIR2DS1	ENSG00000275421
KIR3DL1	ENSG00000274146
KIR3DL1	ENSG00000276329
KIR3DL3	ENSG00000275172
KIR3DP1	ENSG00000276518
KIR2DS2	ENSG00000278152
KIR2DL1	ENSG00000274782
KIR2DS4	ENSG00000274714
KIR2DL3	ENSG00000273947
KIR2DS4	ENSG00000276885
KIR2DP1	ENSG00000274851
NCR1	ENSG00000277334
KIR2DL4	ENSG00000276779
KIR2DL2	ENSG00000275914
KIR3DP1	ENSG00000273688
LILRP1	ENSG00000277570
KIR3DL1	ENSG00000275786
KIR2DL4	ENSG00000274955
KIR2DS3	ENSG00000277193
KIR3DL1	ENSG00000275288
KIR2DL5A	ENSG00000276392
U6	ENSG00000278793
KIR2DL4	ENSG00000275237
LILRP2	ENSG00000276247
KIR3DP1	ENSG00000276212
KIR2DL1	ENSG00000278207
KIR2DL4	ENSG00000276044
LILRP1	ENSG00000276099
LINC01839	ENSG00000281738
KIR2DS5	ENSG00000274243
KIR2DL2	ENSG00000273578
LINC02054	ENSG00000281250
KIR2DL5B	ENSG00000278414
KIR3DP1	ENSG00000278786
CCDC92	ENSG00000275035
KIR3DL3	ENSG00000274639
KIR3DS1	ENSG00000276498
KIR3DL1	ENSG00000274948
KIR3DP1	ENSG00000278051
KIR3DL3	ENSG00000274724
KIR3DL2	ENSG00000278850
KIR3DP1	ENSG00000277835
KIR3DP1	ENSG00000276035
NCR1	ENSG00000275521
LILRP1	ENSG00000276001
KIR2DL4	ENSG00000277964
FCAR	ENSG00000276985
KIR3DL1	ENSG00000276423
KIR3DL2	ENSG00000278710
U6	ENSG00000278625
KIR2DL1	ENSG00000273510
GEMIN2P1	ENSG00000262767
KIR2DL4	ENSG00000275848
U6	ENSG00000277551
GATAD2B	ENSG00000261992
KIR2DS4	ENSG00000276154
KIR2DL1	ENSG00000278755
LILRP1	ENSG00000274545
KIR3DL3	ENSG00000278490
KIR3DL1	ENSG00000278856
LILRP2	ENSG00000277267
KIR3DS1	ENSG00000276534
OR9G4	ENSG00000262647
OR5G3	ENSG00000281107
KIR2DS4	ENSG00000277078
OR9G3P	ENSG00000262268
OR5G1P	ENSG00000281313
SLC27A3	ENSG00000263163
KIR2DL3	ENSG00000274830
KIR3DL1	ENSG00000275659
KIR2DL2	ENSG00000277725
OR5G4P	ENSG00000281279
OR5G5P	ENSG00000262535
KIR3DL2	ENSG00000274722
KIR2DL3	ENSG00000276590
KIR3DL2	ENSG00000276004
KIR3DL3	ENSG00000273502
RNA5-8SN5	ENSG00000274917
5_8S_rRNA	ENSG00000273730
KIR2DL1	ENSG00000275750
KIR2DS4	ENSG00000273526
OR9G2P	ENSG00000281777
KIR3DL2	ENSG00000278758
OR9G1	ENSG00000261958
KIR2DL4	ENSG00000277076
KIR3DL3	ENSG00000275433
KIR2DP1	ENSG00000273522
OR9G9	ENSG00000262191
KIR3DL2	ENSG00000278726
LINC02735	ENSG00000281839
FCAR	ENSG00000273738
KIR3DL3	ENSG00000276806
LINC00254	ENSG00000282469
KIR2DL1	ENSG00000275080
HS3ST6	ENSG00000276333
MEIOB	ENSG00000282650
LINC02124	ENSG00000282069
ZNF43	ENSG00000279566
KIR2DS5	ENSG00000277650
KIR2DP1	ENSG00000278329
KIR2DL3	ENSG00000276218
KIR2DL2	ENSG00000273661
ZNF100	ENSG00000274746
KIR2DL3	ENSG00000274108
KIR3DL2	ENSG00000278442
KIR2DL4	ENSG00000277362
LILRP1	ENSG00000274271
KIR2DL5A	ENSG00000274676
KIR2DL1	ENSG00000277356
LILRP2	ENSG00000275289
CCNYL6	ENSG00000279280
Y_RNA	ENSG00000262710
BRI3BPP1	ENSG00000279112
Y_RNA	ENSG00000262469
Metazoa_SRP	ENSG00000276295
KRTAP9-9	ENSG00000267728
Metazoa_SRP	ENSG00000275531
VN1R84P	ENSG00000280218
LILRP1	ENSG00000273881
KIR2DP1	ENSG00000275815
MTDHP4	ENSG00000280066
KIR2DL3	ENSG00000278369
KIR2DL3	ENSG00000278327
KRTAP9-2	ENSG00000263090
KRTAP9-4	ENSG00000262512
KIR2DL3	ENSG00000273887
KRTAP9-3	ENSG00000262749
KRTAP9-10P	ENSG00000263103
KIR3DL3	ENSG00000274480
NCR1	ENSG00000276450
KRTAP9-2	ENSG00000262573
FCAR	ENSG00000275136
KRTAP9-10P	ENSG00000263115
KRTAP29-1	ENSG00000262218
KRTAP9-4	ENSG00000262896
KIR2DL5B	ENSG00000275436
KRTAP9-6	ENSG00000263263
FCAR	ENSG00000275970
KRTAP9-7	ENSG00000262221
KIR2DL4	ENSG00000274193
U6	ENSG00000274708
KRTAP29-1	ENSG00000262542
KRTAP9-12P	ENSG00000262214
KRTAP9-11P	ENSG00000262946
KRTAP9-9	ENSG00000262594
KIR2DL5B	ENSG00000275937
KIR2DL5B	ENSG00000274707
LILRP2	ENSG00000277963
KIR2DS2	ENSG00000277885
KIR2DL2	ENSG00000276011
U6	ENSG00000273929
KIR3DL3	ENSG00000274556
KIR3DL3	ENSG00000277552
KIR2DL4	ENSG00000277750
LILRP2	ENSG00000274788
KIR2DS2	ENSG00000275452
KIR2DP1	ENSG00000274912
KIR2DS4	ENSG00000276395
KIR3DL2	ENSG00000278474
KIR2DL1	ENSG00000276310
KIR3DL3	ENSG00000274786
KIR3DL1	ENSG00000274920
KRT20	ENSG00000263057
KIR2DL1	ENSG00000273794
KIR2DL4	ENSG00000275456
NCR1	ENSG00000278025
KRTAP3-1	ENSG00000262068
KIR3DP1	ENSG00000275887
KRTAP3-2	ENSG00000263296
KIR2DL2	ENSG00000275546
KRTAP4-9	ENSG00000262121
KRTAP2-4	ENSG00000263091
KRT23	ENSG00000263309
KIR2DP1	ENSG00000278339
PIWIL1	ENSG00000275051
KIR3DL1	ENSG00000278079
KIR3DS1	ENSG00000274465
U6	ENSG00000278190
KIR2DS4	ENSG00000274947
LILRP2	ENSG00000276243
KIR2DS4	ENSG00000276465
SNTG2	ENSG00000281020
KIR3DL3	ENSG00000277392
U6	ENSG00000275168
FTCD	ENSG00000281775
TPO	ENSG00000277603
KIR2DS4	ENSG00000276209
LILRP2	ENSG00000278288
KIR3DL2	ENSG00000278656
KIR2DS1	ENSG00000273517
KIR3DL3	ENSG00000277596
KIR3DP1	ENSG00000274610
LILRP1	ENSG00000277240
IMPDH1P5	ENSG00000282534
KIR2DP1	ENSG00000273955
KIR2DS5	ENSG00000274563
FCAR	ENSG00000275269
U6	ENSG00000275021
DLG5	ENSG00000274429
U6	ENSG00000276552
U6	ENSG00000278411
KRT40	ENSG00000262845
KIR3DL2	ENSG00000275629
KIR2DL4	ENSG00000277850
KIR3DL1	ENSG00000278368
FTCD-AS1	ENSG00000280541
LSS	ENSG00000281289
ADI1	ENSG00000280830
KRTAP1-1	ENSG00000262808
TRAPPC12	ENSG00000274891
KIR3DL2	ENSG00000276882
KRTAP4-11	ENSG00000263229
KRTAP2-5P	ENSG00000262376
KRTAP1-3	ENSG00000262347
KRTAP4-16	ENSG00000262520
KRT12	ENSG00000263243
U6	ENSG00000274771
KRTAP1-5	ENSG00000261862
KRT39	ENSG00000262164
KRTAP3-4P	ENSG00000262616
KRTAP2-1	ENSG00000261852
KRTAP3-3	ENSG00000263101
KRTAP2-3	ENSG00000262862
KRTAP4-12	ENSG00000263236
KRTAP1-4	ENSG00000263242
KIR3DL3	ENSG00000277028
KRTAP4-8	ENSG00000261968
MREGP1	ENSG00000282329
KIR3DP1	ENSG00000277560
KIR3DL2	ENSG00000275416
ANKRD18DP	ENSG00000281617
SPATC1L	ENSG00000274679
KIR2DS4	ENSG00000275353
U6	ENSG00000273752
KIR2DL5A	ENSG00000278116
NCR1	ENSG00000277442
KIR2DS1	ENSG00000276327
U6	ENSG00000274597
RNU6-821P	ENSG00000274706
KIR3DL2	ENSG00000278809
U6	ENSG00000278747
KIR2DL1	ENSG00000278495
SINHCAF	ENSG00000276371
LILRP1	ENSG00000277921
KIR2DL3	ENSG00000277554
KIR2DL4	ENSG00000278074
KIR2DL1	ENSG00000274692
DHX36	ENSG00000281763
KIR2DS3	ENSG00000277657
KIR3DL3	ENSG00000275062
KIR3DL3	ENSG00000275513
U6	ENSG00000277567
FLJ13224	ENSG00000282176
NCR1	ENSG00000275637
ARHGEF26	ENSG00000277101
DSEL-AS1	ENSG00000282112
DSEL	ENSG00000262102
KIR3DL2	ENSG00000277982
KIR2DP1	ENSG00000277375
AP2A2	ENSG00000280759
KIR3DP1	ENSG00000275593
KIR2DL1	ENSG00000276625
