GO root	GO id	GO name	value	pval
BP	GO:0060828	regulation of canonical Wnt signaling pathway	105	1.0499606904961961e-16
BP	GO:0030111	regulation of Wnt signaling pathway	133	1.0604424677888141e-16
BP	GO:0030178	negative regulation of Wnt signaling pathway	67	3.6110944621681175e-16
BP	GO:0090090	negative regulation of canonical Wnt signaling pathway	58	3.00863240302926e-15
BP	GO:0016055	Wnt signaling pathway	125	5.753909844383697e-14
BP	GO:1905114	cell surface receptor signaling pathway involved in cell-cell signaling	128	8.082956121002575e-14
BP	GO:0009968	negative regulation of signal transduction	448	1.3801362429169402e-10
BP	GO:0010648	negative regulation of cell communication	474	3.635673765803863e-10
BP	GO:0023057	negative regulation of signaling	475	3.7692377739409855e-10
BP	GO:0048585	negative regulation of response to stimulus	562	5.209227023920287e-10
BP	GO:0007166	cell surface receptor signaling pathway	870	8.149055777131353e-10
BP	GO:0060070	canonical Wnt signaling pathway	30	1.8274018033503314e-09
BP	GO:1904886	beta-catenin destruction complex disassembly	12	1.871297809655901e-08
BP	GO:0010646	regulation of cell communication	1125	1.743538496230699e-07
BP	GO:0023051	regulation of signaling	1129	1.875557319051098e-07
BP	GO:0009966	regulation of signal transduction	1038	3.6724577138216736e-07
BP	GO:0007165	signal transduction	1364	1.1894401568057568e-06
BP	GO:0048583	regulation of response to stimulus	1305	4.336600460213475e-06
BP	GO:0030177	positive regulation of Wnt signaling pathway	61	6.6703919212134815e-06
BP	GO:1904338	regulation of dopaminergic neuron differentiation	6	9.655336582381576e-06
BP	GO:0043568	positive regulation of insulin-like growth factor receptor signaling pathway	6	9.655336582381576e-06
BP	GO:0010906	regulation of glucose metabolic process	41	1.5088480293724209e-05
BP	GO:0046849	bone remodeling	7	1.680512705916737e-05
BP	GO:0043567	regulation of insulin-like growth factor receptor signaling pathway	8	2.6742275720969882e-05
BP	GO:0090263	positive regulation of canonical Wnt signaling pathway	46	2.684654778094205e-05
BP	GO:0045859	regulation of protein kinase activity	344	3.397389218421904e-05
BP	GO:0051338	regulation of transferase activity	424	4.300242816092985e-05
BP	GO:0051174	regulation of phosphorus metabolic process	672	4.365402683135783e-05
BP	GO:0019220	regulation of phosphate metabolic process	672	4.365402683135783e-05
BP	GO:0010675	regulation of cellular carbohydrate metabolic process	52	4.923961743793531e-05
BP	GO:0001932	regulation of protein phosphorylation	593	5.226308885498886e-05
BP	GO:0005979	regulation of glycogen biosynthetic process	10	5.668465170845964e-05
BP	GO:0010962	regulation of glucan biosynthetic process	10	5.668465170845964e-05
BP	GO:0071901	negative regulation of protein serine/threonine kinase activity	54	5.9257074599256404e-05
BP	GO:0009996	negative regulation of cell fate specification	2	6.485980229448036e-05
BP	GO:2000465	regulation of glycogen (starch) synthase activity	2	6.485980229448036e-05
BP	GO:0090244	Wnt signaling pathway involved in somitogenesis	2	6.485980229448036e-05
BP	GO:1904339	negative regulation of dopaminergic neuron differentiation	2	6.485980229448036e-05
BP	GO:0071900	regulation of protein serine/threonine kinase activity	239	6.561493772613285e-05
BP	GO:0070873	regulation of glycogen metabolic process	11	7.751852607607467e-05
BP	GO:0043549	regulation of kinase activity	379	8.499360042373393e-05
BP	GO:0001934	positive regulation of protein phosphorylation	459	9.630537316475294e-05
BP	GO:0042325	regulation of phosphorylation	634	0.00011373426859167613
BP	GO:0032502	developmental process	1255	0.00011428064146318442
BP	GO:0043408	regulation of MAPK cascade	324	0.00012376596911670303
