id	SOCE16_1	SOCE16_2	SOCE16_3	SOCP0_1	SOCP0_2	SOCP0_3
ENSG00000065135	5846	5246	4860	4207	3876	3983
ENSG00000093009	397	282	340	87	101	75
ENSG00000102098	195	192	142	73	111	111
ENSG00000141562	3434	3030	3438	2162	2026	2103
ENSG00000105971	416	412	275	538	576	715
ENSG00000067082	2500	2443	2271	2415	2401	2752
ENSG00000010803	295	471	440	333	390	372
ENSG00000121068	403	506	541	142	202	269
ENSG00000064300	1411	1532	1997	1481	1555	2082
ENSG00000108379	168	155	148	164	177	138
ENSG00000143816	126	128	163	91	55	86
ENSG00000151422	1067	1147	1211	1059	1001	1011
ENSG00000169180	1942	2284	2437	2019	2372	2684
ENSG00000068323	365	361	400	262	384	371
ENSG00000168646	830	981	1184	699	775	722
ENSG00000106009	573	551	718	749	661	764
ENSG00000146535	2759	2568	3083	2366	2307	2382
ENSG00000150773	57	49	49	28	36	19
ENSG00000150768	2224	2145	2202	4043	4045	4708
ENSG00000204370	2290	2161	2332	3032	2883	3117
ENSG00000118971	2992	4040	3097	590	714	665
ENSG00000148358	1624	1719	2195	1684	1813	1903
ENSG00000102452	2034	2224	2022	3995	4028	4327
ENSG00000204347	238	202	290	597	477	519
ENSG00000180176	213	108	150	72	83	94
ENSG00000102385	789	1105	1216	877	896	1015
ENSG00000106689	182	252	229	214	232	230
ENSG00000137198	476	300	413	520	440	541
ENSG00000145888	15	53	52	138	199	289
ENSG00000080561	622	830	623	840	977	1074
ENSG00000121060	129	150	142	92	110	132
ENSG00000153933	1308	1481	1531	2108	2049	1931
ENSG00000121064	717	605	677	512	461	465
ENSG00000070444	159	296	231	156	229	228
ENSG00000111906	474	436	543	547	518	610
ENSG00000111907	363	345	334	351	284	341
ENSG00000133027	63	39	63	71	68	58
ENSG00000039068	347	444	345	238	131	176
ENSG00000179242	1428	2163	2191	1857	2425	2420
ENSG00000237289	1144	1152	1472	3131	3066	3309
ENSG00000161940	99	132	137	52	71	76
ENSG00000099889	3020	2811	3698	3271	3257	3253
ENSG00000093010	1045	1001	987	1041	902	970
ENSG00000137996	1165	1015	1210	1413	1324	1478
ENSG00000137992	551	570	538	677	741	769
ENSG00000183283	778	878	780	728	950	1034
ENSG00000101898	895	955	889	1185	1072	1100
ENSG00000132972	52	61	80	60	52	23
ENSG00000280433	2284	2485	2841	3234	3360	3685
ENSG00000136280	1002	788	952	783	670	698
ENSG00000136270	361	400	413	294	344	371
ENSG00000078098	456	365	295	35	23	27
ENSG00000139180	1818	1678	2077	2380	2252	2403
ENSG00000198759	646	495	487	117	106	108
ENSG00000182866	153	144	169	162	184	172
ENSG00000077063	524	715	603	631	671	746
ENSG00000141429	2831	2983	2771	2051	2302	2263
ENSG00000075975	1109	1090	1125	1348	1242	1283
ENSG00000132155	4585	3970	4866	3866	3614	3826
ENSG00000180096	35	42	49	20	12	10
ENSG00000100311	320	375	397	458	492	664
ENSG00000139567	521	449	553	288	326	283
ENSG00000161835	146	172	195	87	129	100
ENSG00000135503	2267	2600	2818	3056	3488	3777
ENSG00000175662	975	1380	1507	1355	1510	1710
ENSG00000161642	43	120	95	68	70	118
ENSG00000161638	297	355	362	56	57	64
ENSG00000151834	209	328	241	372	581	581
ENSG00000116455	843	878	901	881	918	947
ENSG00000116459	7786	6727	7437	9394	8618	8693
ENSG00000125398	1245	1576	1122	202	222	227
ENSG00000138668	835	1779	1117	1365	1407	1733
ENSG00000197223	2409	2046	1931	2848	2564	2624
ENSG00000196743	641	609	665	1086	1485	1679
ENSG00000001631	1187	1127	1048	912	909	1076
ENSG00000073464	5461	5492	5966	7810	7612	7407
ENSG00000135622	291	364	474	531	521	583
ENSG00000159399	493	380	387	134	191	177
ENSG00000196535	2073	3034	3445	2458	3171	3509
ENSG00000063015	473	993	785	1015	1394	1603
ENSG00000168792	39	41	47	27	44	47
ENSG00000115318	1448	986	1294	316	199	220
ENSG00000114166	687	632	702	736	793	679
ENSG00000111540	2235	2450	2715	2724	3144	3406
ENSG00000277117	51	35	48	37	31	51
ENSG00000197912	1113	956	1246	1487	1328	1457
ENSG00000167526	16192	11944	14871	10209	8899	8445
ENSG00000131165	2658	2075	2582	3036	2658	2607
ENSG00000132383	1877	1762	2045	1336	1284	1236
ENSG00000132386	1242	1169	1452	278	272	258
ENSG00000126216	1207	997	1093	893	875	912
ENSG00000112038	28	83	32	78	111	141
ENSG00000168495	838	845	921	648	682	669
ENSG00000081059	50	103	120	29	52	36
ENSG00000215301	11843	11156	9897	8734	10337	9227
ENSG00000105641	15	29	34	86	85	120
ENSG00000143603	317	385	317	362	402	568
ENSG00000170832	1892	2876	2106	3129	3369	3691
ENSG00000167434	4	6	9	39	54	63
ENSG00000197763	469	449	542	605	602	565
ENSG00000196700	1523	2209	2164	1685	2139	2140
ENSG00000101152	7062	7877	8972	11124	12487	13269
ENSG00000101150	1905	1568	1828	1461	1409	1619
ENSG00000102081	1775	2371	1412	1682	1954	2018
ENSG00000119866	507	863	577	634	607	713
ENSG00000101417	297	304	323	304	405	390
ENSG00000082458	1365	1368	1518	1546	1710	1926
ENSG00000185838	167	150	175	163	157	144
ENSG00000123454	164	106	118	78	80	105
ENSG00000099953	391	454	491	77	116	101
ENSG00000099956	2904	2292	3106	2120	2123	1981
ENSG00000130787	1436	1617	1861	2103	2296	2372
ENSG00000130305	379	277	350	313	261	297
ENSG00000184428	288	300	400	385	317	348
ENSG00000214265	1393	1684	592	2580	2750	3179
ENSG00000157227	2710	3183	3447	1057	1278	1284
ENSG00000155465	99	110	83	55	51	47
ENSG00000155463	890	1051	1089	904	1140	1231
ENSG00000068097	775	858	905	554	627	729
ENSG00000143621	5076	4189	5234	3808	3450	3362
ENSG00000160679	6138	5372	5377	5742	5375	5393
ENSG00000143553	1050	947	1015	1089	1075	1101
ENSG00000197956	266	271	277	181	188	211
ENSG00000108622	185	162	175	75	96	80
ENSG00000166484	869	881	1044	553	660	670
ENSG00000072134	1594	1895	1932	2151	2112	2332
ENSG00000108641	321	308	331	212	190	152
ENSG00000138802	511	926	705	564	621	725
ENSG00000145911	702	515	731	1042	872	992
ENSG00000145916	985	805	1000	877	812	873
ENSG00000145912	643	664	747	605	579	577
ENSG00000075399	639	697	822	806	1015	1079
ENSG00000158805	830	699	857	694	675	723
ENSG00000186897	108	43	105	117	127	136
